State,County,FIPS,Total Population,Citizen Voting-Age Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural
Wisconsin,La Crosse,55063,117538,0,90.53752829,1.214075448,1.724548657,2.976058807,51.17153601,43.24133472,14.702479199999999,51477,4.7969523810000005,5.47476706,67.5297571,16.82775345
Virginia,Alleghany,51005,15919,12705,91.94044852,5.207613544,1.43225077,1.300332935,51.07732898,31.66028017,23.90225517,45538,4.56098648,15.53754266,83.7116041,52.39384615
Indiana,Fountain,18045,16741,12750,95.70515501,0.400215041,2.3594767340000002,1.547099934,49.77002569,35.89988651,18.94152082,45924,7.978789,12.0321549,85.53894027,65.9512761
Ohio,Geauga,39055,94020,0,95.83705595,1.25611572,1.2944054459999998,2.578174856,50.67857903,36.2816422,18.02807913,74165,4.03690174,8.928599445,62.73082414,63.96898992
Wisconsin,Jackson,55053,20566,15835,86.66245259,1.9838568509999999,3.08275795,1.376057571,46.64981037,36.29291063,17.58727998,49608,5.569697587,11.79291174,86.12925643,72.23825126
Texas,Baylor,48023,3639,0,86.64468261,1.841165155,8.353943391,2.473206925,51.66254466,30.09068425,24.40230833,34382,1.377410468,13.06666667,73.40952381,100.0
Nebraska,Madison,31119,35125,24885,81.24982206,1.155871886,14.21779359,6.784341637000001,50.44839858,41.43202847,15.40498221,48673,3.094085456,11.67867182,80.34522136,27.90457621
Hawaii,Hawaii,15001,193680,0,30.40169352,0.547810822,12.40551425,11.00371747,50.14301941,36.00888063,17.58054523,53936,7.437631666000001,8.362325585,72.4089791,37.99080393
Tennessee,Henry,47079,32291,25285,87.6621969,8.599919482,2.201851909,1.5608064169999998,51.44157815,33.23836363,21.47657242,38378,7.91227693,15.7108413,85.30526135,66.84812867
Michigan,Oceana,26127,26152,18930,82.48699908,1.1318446009999998,14.41954726,5.578923218,49.39583971,36.64346895,19.08840624,41952,8.275555556,14.33542883,82.94791199,89.89085435
Nebraska,Pierce,31139,7179,5385,96.89371779,0.222872266,1.587964898,0.780052932,49.65872684,36.63462878,18.54018666,53125,3.981141959,5.227552276,78.61828618,100.0
