Year,State,County,Office,Party,Votes
2018,AZ,Apache County,US Senator,Democratic,16298.0
2018,AZ,Apache County,US Senator,Republican,7810.0
2018,AZ,Cochise County,US Senator,Democratic,17383.0
2018,AZ,Cochise County,US Senator,Republican,26929.0
2018,AZ,Coconino County,US Senator,Democratic,34240.0
2018,AZ,Coconino County,US Senator,Republican,19249.0
2018,AZ,Gila County,US Senator,Democratic,7643.0
2018,AZ,Gila County,US Senator,Republican,12180.0
2018,AZ,Graham County,US Senator,Democratic,3368.0
2018,AZ,Graham County,US Senator,Republican,6870.0
2018,AZ,La Paz County,US Senator,Democratic,1609.0
2018,AZ,La Paz County,US Senator,Republican,3265.0
2018,AZ,Maricopa County,US Senator,Democratic,732671.0
2018,AZ,Maricopa County,US Senator,Republican,672505.0
2018,AZ,Mohave County,US Senator,Democratic,19214.0
2018,AZ,Mohave County,US Senator,Republican,50209.0
2018,AZ,Navajo County,US Senator,Democratic,16624.0
2018,AZ,Navajo County,US Senator,Republican,18767.0
2018,AZ,Pima County,US Senator,Democratic,221242.0
2018,AZ,Pima County,US Senator,Republican,160550.0
2018,AZ,Santa Cruz County,US Senator,Democratic,9241.0
2018,AZ,Santa Cruz County,US Senator,Republican,3828.0
2018,AZ,Yavapai County,US Senator,Democratic,40160.0
2018,AZ,Yavapai County,US Senator,Republican,65308.0
2018,CT,Fairfield County,US Senator,Democratic,210899.0
2018,CT,Fairfield County,US Senator,Republican,131321.0
2018,CT,Hartford County,US Senator,Democratic,203591.0
2018,CT,Hartford County,US Senator,Republican,123864.0
2018,CT,Middlesex County,US Senator,Democratic,42383.0
2018,CT,Middlesex County,US Senator,Republican,32836.0
2018,CT,New Haven County,US Senator,Democratic,179714.0
2018,CT,New Haven County,US Senator,Republican,126004.0
2018,CT,Tolland County,US Senator,Democratic,34732.0
2018,CT,Tolland County,US Senator,Republican,28046.0
2018,CT,Windham County,US Senator,Democratic,20490.0
2018,CT,Windham County,US Senator,Republican,19032.0
2018,DE,Sussex County,US Senator,Republican,50391.0
2018,DE,Sussex County,US Senator,Democratic,40675.0
2018,FL,Alachua County,US Senator,Democratic,74493.0
2018,FL,Alachua County,US Senator,Republican,40599.0
2018,FL,Baker County,US Senator,Democratic,1945.0
2018,FL,Baker County,US Senator,Republican,8579.0
2018,FL,Bay County,US Senator,Democratic,16723.0
2018,FL,Bay County,US Senator,Republican,46681.0
2018,FL,Bradford County,US Senator,Democratic,2879.0
2018,FL,Bradford County,US Senator,Republican,7576.0
2018,FL,Brevard County,US Senator,Democratic,121112.0
2018,FL,Brevard County,US Senator,Republican,160305.0
2018,FL,Broward County,US Senator,Democratic,472239.0
2018,FL,Broward County,US Senator,Republican,211397.0
2018,FL,Charlotte County,US Senator,Democratic,33525.0
2018,FL,Charlotte County,US Senator,Republican,52916.0
2018,FL,Citrus County,US Senator,Democratic,22660.0
2018,FL,Citrus County,US Senator,Republican,48008.0
2018,FL,Collier County,US Senator,Democratic,54390.0
2018,FL,Collier County,US Senator,Republican,101266.0
2018,FL,Desoto County,US Senator,Democratic,3328.0
2018,FL,Desoto County,US Senator,Republican,5503.0
2018,FL,Dixie County,US Senator,Democratic,1322.0
2018,FL,Dixie County,US Senator,Republican,4442.0
2018,FL,Duval County,US Senator,Democratic,192381.0
2018,FL,Duval County,US Senator,Republican,185904.0
2018,FL,Escambia County,US Senator,Democratic,52891.0
2018,FL,Escambia County,US Senator,Republican,75947.0
2018,FL,Flagler County,US Senator,Democratic,21419.0
2018,FL,Flagler County,US Senator,Republican,31467.0
2018,FL,Franklin County,US Senator,Democratic,2011.0
2018,FL,Franklin County,US Senator,Republican,3404.0
2018,FL,Gadsden County,US Senator,Democratic,13945.0
2018,FL,Gadsden County,US Senator,Republican,6051.0
2018,FL,Gilchrist County,US Senator,Democratic,1633.0
2018,FL,Gilchrist County,US Senator,Republican,5703.0
2018,FL,Glades County,US Senator,Democratic,1156.0
2018,FL,Glades County,US Senator,Republican,2666.0
2018,FL,Gulf County,US Senator,Democratic,1580.0
2018,FL,Gulf County,US Senator,Republican,4321.0
2018,FL,Hamilton County,US Senator,Democratic,1671.0
2018,FL,Hamilton County,US Senator,Republican,2856.0
2018,FL,Hendry County,US Senator,Democratic,3542.0
2018,FL,Hendry County,US Senator,Republican,5304.0
2018,FL,Hillsborough County,US Senator,Democratic,281661.0
2018,FL,Hillsborough County,US Senator,Republican,239641.0
2018,FL,Holmes County,US Senator,Democratic,856.0
2018,FL,Holmes County,US Senator,Republican,5919.0
2018,FL,Indian River County,US Senator,Democratic,29195.0
2018,FL,Indian River County,US Senator,Republican,44798.0
2018,FL,Jackson County,US Senator,Democratic,5182.0
2018,FL,Jackson County,US Senator,Republican,10791.0
2018,FL,Lafayette County,US Senator,Democratic,623.0
2018,FL,Lafayette County,US Senator,Republican,2195.0
2018,FL,Lake County,US Senator,Democratic,61402.0
2018,FL,Lake County,US Senator,Republican,93537.0
2018,FL,Leon County,US Senator,Democratic,91097.0
2018,FL,Leon County,US Senator,Republican,48767.0
2018,FL,Madison County,US Senator,Democratic,3425.0
2018,FL,Madison County,US Senator,Republican,4184.0
2018,FL,Manatee County,US Senator,Democratic,68877.0
2018,FL,Manatee County,US Senator,Republican,94390.0
2018,FL,Marion County,US Senator,Democratic,59025.0
2018,FL,Marion County,US Senator,Republican,95592.0
2018,FL,Martin County,US Senator,Democratic,30691.0
2018,FL,Martin County,US Senator,Republican,46733.0
2018,FL,Miami-Dade County,US Senator,Democratic,485496.0
2018,FL,Miami-Dade County,US Senator,Republican,316020.0
2018,FL,Monroe County,US Senator,Democratic,18051.0
2018,FL,Monroe County,US Senator,Republican,18035.0
2018,FL,Nassau County,US Senator,Democratic,11703.0
2018,FL,Nassau County,US Senator,Republican,31795.0
2018,FL,Okeechobee County,US Senator,Democratic,3496.0
2018,FL,Okeechobee County,US Senator,Republican,7727.0
2018,FL,Orange County,US Senator,Democratic,294308.0
2018,FL,Orange County,US Senator,Republican,180763.0
2018,FL,Osceola County,US Senator,Democratic,67123.0
2018,FL,Osceola County,US Senator,Republican,47898.0
2018,FL,Pinellas County,US Senator,Democratic,228712.0
2018,FL,Pinellas County,US Senator,Republican,205935.0
2018,FL,Polk County,US Senator,Democratic,105748.0
2018,FL,Polk County,US Senator,Republican,138751.0
2018,FL,Putnam County,US Senator,Democratic,9344.0
2018,FL,Putnam County,US Senator,Republican,18689.0
2018,FL,Santa Rosa County,US Senator,Democratic,19047.0
2018,FL,Santa Rosa County,US Senator,Republican,56374.0
2018,FL,Sarasota County,US Senator,Democratic,96973.0
2018,FL,Sarasota County,US Senator,Republican,113585.0
2018,FL,Seminole County,US Senator,Democratic,101504.0
2018,FL,Seminole County,US Senator,Republican,97457.0
2018,FL,St. Johns County,US Senator,Democratic,45638.0
2018,FL,St. Johns County,US Senator,Republican,85031.0
2018,FL,St. Lucie County,US Senator,Democratic,63978.0
2018,FL,St. Lucie County,US Senator,Republican,59612.0
2018,FL,Suwannee County,US Senator,Democratic,4044.0
2018,FL,Suwannee County,US Senator,Republican,11842.0
2018,FL,Taylor County,US Senator,Democratic,2263.0
2018,FL,Taylor County,US Senator,Republican,5638.0
2018,FL,Union County,US Senator,Democratic,1197.0
2018,FL,Union County,US Senator,Republican,3650.0
2018,FL,Wakulla County,US Senator,Democratic,4868.0
2018,FL,Wakulla County,US Senator,Republican,9322.0
2018,FL,Walton County,US Senator,Democratic,7485.0
2018,FL,Walton County,US Senator,Republican,22776.0
2018,FL,Washington County,US Senator,Democratic,1959.0
2018,FL,Washington County,US Senator,Republican,7101.0
2018,HI,Hawaii County,US Senator,Democratic,43348.0
2018,HI,Hawaii County,US Senator,Republican,15031.0
2018,HI,Honolulu County,US Senator,Democratic,176705.0
2018,HI,Honolulu County,US Senator,Republican,79503.0
2018,HI,Kauai County,US Senator,Democratic,18510.0
2018,HI,Kauai County,US Senator,Republican,6120.0
2018,HI,Maui County,US Senator,Democratic,37753.0
2018,HI,Maui County,US Senator,Republican,11381.0
2018,IN,Adams County,US Senator,Democratic,3146.0
2018,IN,Adams County,US Senator,Republican,7511.0
2018,IN,Allen County,US Senator,Democratic,55903.0
2018,IN,Allen County,US Senator,Republican,65927.0
2018,IN,Blackford County,US Senator,Democratic,1275.0
2018,IN,Blackford County,US Senator,Republican,2303.0
2018,IN,Boone County,US Senator,Democratic,10981.0
2018,IN,Boone County,US Senator,Republican,15540.0
2018,IN,Carroll County,US Senator,Democratic,2071.0
2018,IN,Carroll County,US Senator,Republican,4518.0
2018,IN,Cass County,US Senator,Democratic,4061.0
2018,IN,Cass County,US Senator,Republican,6617.0
2018,IN,Clark County,US Senator,Democratic,18551.0
2018,IN,Clark County,US Senator,Republican,22766.0
2018,IN,Clay County,US Senator,Democratic,2601.0
2018,IN,Clay County,US Senator,Republican,6207.0
2018,IN,Crawford County,US Senator,Democratic,1504.0
2018,IN,Crawford County,US Senator,Republican,2252.0
2018,IN,Dearborn County,US Senator,Democratic,4481.0
2018,IN,Dearborn County,US Senator,Republican,13287.0
2018,IN,Decatur County,US Senator,Democratic,2287.0
2018,IN,Decatur County,US Senator,Republican,6246.0
2018,IN,Dekalb County,US Senator,Democratic,4204.0
2018,IN,Dekalb County,US Senator,Republican,9167.0
2018,IN,Delaware County,US Senator,Democratic,18159.0
2018,IN,Delaware County,US Senator,Republican,17447.0
2018,IN,Dubois County,US Senator,Democratic,5264.0
2018,IN,Dubois County,US Senator,Republican,11204.0
2018,IN,Fayette County,US Senator,Democratic,2295.0
2018,IN,Fayette County,US Senator,Republican,4704.0
2018,IN,Floyd County,US Senator,Democratic,14070.0
2018,IN,Floyd County,US Senator,Republican,16588.0
2018,IN,Fountain County,US Senator,Democratic,1496.0
2018,IN,Fountain County,US Senator,Republican,4060.0
2018,IN,Franklin County,US Senator,Democratic,1619.0
2018,IN,Franklin County,US Senator,Republican,5614.0
2018,IN,Fulton County,US Senator,Democratic,2539.0
2018,IN,Fulton County,US Senator,Republican,4154.0
2018,IN,Grant County,US Senator,Democratic,6745.0
2018,IN,Grant County,US Senator,Republican,12393.0
2018,IN,Greene County,US Senator,Democratic,3313.0
2018,IN,Greene County,US Senator,Republican,6949.0
2018,IN,Hamilton County,US Senator,Democratic,61337.0
2018,IN,Hamilton County,US Senator,Republican,72325.0
2018,IN,Hancock County,US Senator,Democratic,9770.0
2018,IN,Hancock County,US Senator,Republican,19097.0
2018,IN,Harrison County,US Senator,Democratic,5131.0
2018,IN,Harrison County,US Senator,Republican,9847.0
2018,IN,Hendricks County,US Senator,Democratic,23599.0
2018,IN,Hendricks County,US Senator,Republican,36966.0
2018,IN,Howard County,US Senator,Democratic,11159.0
2018,IN,Howard County,US Senator,Republican,16736.0
2018,IN,Huntington County,US Senator,Democratic,3699.0
2018,IN,Huntington County,US Senator,Republican,8879.0
2018,IN,Jackson County,US Senator,Democratic,4198.0
2018,IN,Jackson County,US Senator,Republican,9431.0
2018,IN,Jasper County,US Senator,Democratic,3278.0
2018,IN,Jasper County,US Senator,Republican,6987.0
2018,IN,Jay County,US Senator,Democratic,1933.0
2018,IN,Jay County,US Senator,Republican,3990.0
2018,IN,Jefferson County,US Senator,Democratic,4313.0
2018,IN,Jefferson County,US Senator,Republican,6345.0
2018,IN,Johnson County,US Senator,Democratic,17479.0
2018,IN,Johnson County,US Senator,Republican,32540.0
2018,IN,Lagrange County,US Senator,Democratic,2217.0
2018,IN,Lagrange County,US Senator,Republican,5183.0
2018,IN,Lake County,US Senator,Democratic,104390.0
2018,IN,Lake County,US Senator,Republican,54564.0
2018,IN,Laporte County,US Senator,Democratic,20014.0
2018,IN,Laporte County,US Senator,Republican,16008.0
2018,IN,Lawrence County,US Senator,Democratic,4434.0
2018,IN,Lawrence County,US Senator,Republican,10274.0
2018,IN,Madison County,US Senator,Democratic,18701.0
2018,IN,Madison County,US Senator,Republican,22841.0
2018,IN,Marion County,US Senator,Democratic,197880.0
2018,IN,Marion County,US Senator,Republican,98385.0
2018,IN,Marshall County,US Senator,Democratic,5619.0
2018,IN,Marshall County,US Senator,Republican,8747.0
2018,IN,Martin County,US Senator,Democratic,1127.0
2018,IN,Martin County,US Senator,Republican,2997.0
2018,IN,Monroe County,US Senator,Democratic,34193.0
2018,IN,Monroe County,US Senator,Republican,15540.0
2018,IN,Montgomery County,US Senator,Democratic,3518.0
2018,IN,Montgomery County,US Senator,Republican,8362.0
2018,IN,Morgan County,US Senator,Democratic,6471.0
2018,IN,Morgan County,US Senator,Republican,17539.0
2018,IN,Ohio County,US Senator,Democratic,747.0
2018,IN,Ohio County,US Senator,Republican,1586.0
2018,IN,Owen County,US Senator,Democratic,2210.0
2018,IN,Owen County,US Senator,Republican,4601.0
2018,IN,Parke County,US Senator,Democratic,1499.0
2018,IN,Parke County,US Senator,Republican,3532.0
2018,IN,Perry County,US Senator,Democratic,3364.0
2018,IN,Perry County,US Senator,Republican,3450.0
2018,IN,Pike County,US Senator,Democratic,1679.0
2018,IN,Pike County,US Senator,Republican,3235.0
2018,IN,Porter County,US Senator,Democratic,33390.0
2018,IN,Porter County,US Senator,Republican,29368.0
2018,IN,Posey County,US Senator,Democratic,3881.0
2018,IN,Posey County,US Senator,Republican,6324.0
2018,IN,Pulaski County,US Senator,Democratic,1617.0
2018,IN,Pulaski County,US Senator,Republican,2583.0
2018,IN,Randolph County,US Senator,Democratic,2467.0
2018,IN,Randolph County,US Senator,Republican,5138.0
2018,IN,Ripley County,US Senator,Democratic,2350.0
2018,IN,Ripley County,US Senator,Republican,6880.0
2018,IN,Rush County,US Senator,Democratic,1690.0
2018,IN,Rush County,US Senator,Republican,3991.0
2018,IN,Scott County,US Senator,Democratic,3113.0
2018,IN,Scott County,US Senator,Republican,4241.0
2018,IN,Shelby County,US Senator,Democratic,4333.0
2018,IN,Shelby County,US Senator,Republican,9340.0
2018,IN,St. Joseph County,US Senator,Democratic,53758.0
2018,IN,St. Joseph County,US Senator,Republican,36456.0
2018,IN,Starke County,US Senator,Democratic,3119.0
2018,IN,Starke County,US Senator,Republican,4149.0
2018,IN,Steuben County,US Senator,Democratic,3864.0
2018,IN,Steuben County,US Senator,Republican,7839.0
2018,IN,Sullivan County,US Senator,Democratic,2663.0
2018,IN,Sullivan County,US Senator,Republican,4340.0
2018,IN,Tippecanoe County,US Senator,Democratic,26376.0
2018,IN,Tippecanoe County,US Senator,Republican,22649.0
2018,IN,Tipton County,US Senator,Democratic,1734.0
2018,IN,Tipton County,US Senator,Republican,4062.0
2018,IN,Union County,US Senator,Democratic,682.0
2018,IN,Union County,US Senator,Republican,1749.0
2018,IN,Vanderburgh County,US Senator,Democratic,27183.0
2018,IN,Vanderburgh County,US Senator,Republican,29375.0
2018,IN,Vigo County,US Senator,Democratic,15171.0
2018,IN,Vigo County,US Senator,Republican,14813.0
2018,IN,Warren County,US Senator,Democratic,914.0
2018,IN,Warren County,US Senator,Republican,2208.0
2018,IN,Warrick County,US Senator,Democratic,9594.0
2018,IN,Warrick County,US Senator,Republican,14010.0
2018,IN,Washington County,US Senator,Democratic,2806.0
2018,IN,Washington County,US Senator,Republican,6127.0
2018,IN,Wayne County,US Senator,Democratic,7482.0
2018,IN,Wayne County,US Senator,Republican,11241.0
2018,IN,Wells County,US Senator,Democratic,2694.0
2018,IN,Wells County,US Senator,Republican,7819.0
2018,IN,White County,US Senator,Democratic,2736.0
2018,IN,White County,US Senator,Republican,5100.0
2018,IN,Whitley County,US Senator,Democratic,3818.0
2018,IN,Whitley County,US Senator,Republican,9019.0
2018,ME,Androscoggin County,US Senator,Democratic,22150.0
2018,ME,Androscoggin County,US Senator,Republican,18931.0
2018,ME,Cumberland County,US Senator,Democratic,93860.0
2018,ME,Cumberland County,US Senator,Republican,40053.0
2018,ME,Hancock County,US Senator,Democratic,15463.0
2018,ME,Hancock County,US Senator,Republican,9837.0
2018,ME,Knox County,US Senator,Democratic,12009.0
2018,ME,Knox County,US Senator,Republican,6270.0
2018,ME,Lincoln County,US Senator,Democratic,10763.0
2018,ME,Lincoln County,US Senator,Republican,6814.0
2018,ME,Oxford County,US Senator,Democratic,12954.0
2018,ME,Oxford County,US Senator,Republican,10510.0
2018,ME,Penobscot County,US Senator,Democratic,31290.0
2018,ME,Penobscot County,US Senator,Republican,27692.0
2018,ME,Somerset County,US Senator,Democratic,9631.0
2018,ME,Somerset County,US Senator,Republican,9831.0
2018,ME,Washington County,US Senator,Democratic,6310.0
2018,ME,Washington County,US Senator,Republican,5770.0
2018,ME,York County,US Senator,Democratic,51387.0
2018,ME,York County,US Senator,Republican,32849.0
2018,MD,Anne Arundel County,US Senator,Democratic,122910.0
2018,MD,Anne Arundel County,US Senator,Republican,92401.0
2018,MD,Baltimore City,US Senator,Democratic,160370.0
2018,MD,Baltimore City,US Senator,Republican,16184.0
2018,MD,Baltimore County,US Senator,Democratic,197530.0
2018,MD,Baltimore County,US Senator,Republican,106275.0
2018,MD,Calvert County,US Senator,Democratic,17372.0
2018,MD,Calvert County,US Senator,Republican,19901.0
2018,MD,Caroline County,US Senator,Democratic,4265.0
2018,MD,Caroline County,US Senator,Republican,6474.0
2018,MD,Charles County,US Senator,Democratic,44874.0
2018,MD,Charles County,US Senator,Republican,17872.0
2018,MD,Dorchester County,US Senator,Democratic,5928.0
2018,MD,Dorchester County,US Senator,Republican,5864.0
2018,MD,Frederick County,US Senator,Democratic,55256.0
2018,MD,Frederick County,US Senator,Republican,47038.0
2018,MD,Garrett County,US Senator,Democratic,2817.0
2018,MD,Garrett County,US Senator,Republican,7801.0
2018,MD,Kent County,US Senator,Democratic,4588.0
2018,MD,Kent County,US Senator,Republican,3490.0
2018,MD,Prince George's County,US Senator,Democratic,286975.0
2018,MD,Prince George's County,US Senator,Republican,24140.0
2018,MD,Somerset County,US Senator,Democratic,3652.0
2018,MD,Somerset County,US Senator,Republican,3882.0
2018,MD,St. Mary's County,US Senator,Democratic,16849.0
2018,MD,St. Mary's County,US Senator,Republican,21393.0
2018,MD,Washington County,US Senator,Democratic,19956.0
2018,MD,Washington County,US Senator,Republican,28319.0
2018,MD,Wicomico County,US Senator,Democratic,16539.0
2018,MD,Wicomico County,US Senator,Republican,15644.0
2018,MD,Worcester County,US Senator,Democratic,9840.0
2018,MD,Worcester County,US Senator,Republican,12886.0
2018,MA,Barnstable County,US Senator,Democratic,125340.0
2018,MA,Barnstable County,US Senator,Republican,103620.0
2018,MA,Essex County,US Senator,Democratic,356686.0
2018,MA,Essex County,US Senator,Republican,242134.0
2018,MA,Franklin County,US Senator,Democratic,45824.0
2018,MA,Franklin County,US Senator,Republican,17580.0
2018,MA,Hampshire County,US Senator,Democratic,99886.0
2018,MA,Hampshire County,US Senator,Republican,36434.0
2018,MA,Middlesex County,US Senator,Democratic,881802.0
2018,MA,Middlesex County,US Senator,Republican,405742.0
